LME,mean_sd_source,mean_sd,ssp
Aleutian Islands (10),mem,40.09736806,585
Baffin Bay (16),mem,3095.438873,585
Barents Sea (5),mem,10866.02283,585
Beaufort Sea (14),mem,15334.44759,585
Central Arctic (13),mem,9270.289918,585
Chukchi Sea (12),mem,6627.0377,585
East Bering Sea (9),mem,14.37711768,585
East Siberian Sea (8),mem,168.0623176,585
Faroe Plateau (1),mem,8.3897279,585
Greenland Sea (3),mem,4090.643198,585
Hudson Bay (17),mem,2099.445125,585
Iceland (2),mem,10245.18975,585
Kara Sea (6),mem,2284.382607,585
Labrador Sea (18),mem,18.41829096,585
Laptev Sea (7),mem,2825.894993,585
Northern Canadian Archipelago (15),mem,193.0331737,585
Norwegian Sea (4),mem,167.358698,585
West Bering Sea (11),mem,32.865206,585
Aleutian Islands (10),esm,17.41175221,585
Baffin Bay (16),esm,639.7454119,585
Barents Sea (5),esm,2168.891302,585
Beaufort Sea (14),esm,3043.109915,585
Central Arctic (13),esm,1884.883362,585
Chukchi Sea (12),esm,1216.705314,585
East Bering Sea (9),esm,7.033211434,585
East Siberian Sea (8),esm,59.25617911,585
Faroe Plateau (1),esm,5.796674916,585
Greenland Sea (3),esm,1037.680266,585
Hudson Bay (17),esm,516.3909996,585
Iceland (2),esm,2538.740486,585
Kara Sea (6),esm,430.2963981,585
Labrador Sea (18),esm,7.205251053,585
Laptev Sea (7),esm,720.7269851,585
Northern Canadian Archipelago (15),esm,72.02722746,585
Norwegian Sea (4),esm,49.48175879,585
West Bering Sea (11),esm,15.54724058,585
